# Dados brutos: comparacao de schedulers de I/O no POCO rodin (MT6899)
# Kernel 6.6.142-StormBreaker-4k, disco sdc (userdata), leitura 4K aleatoria
# Coletado com tools/stormbreaker/iobench.c, analisado com iobench-report.py
# Data: 2026-09-18

## Teste 1: leitores de fundo (somente leitura)
# disk=sdc dev=/dev/block/by-name/userdata dur=8s kernel=6.6.142-StormBreaker-4k
# rep sched bg n iops avg p50 p95 p99 p999 max
# scheduler original: mq-deadline
1 mq-deadline 0 140960 17620 55 44 121 158 302 1889
1 adios 0 143094 17886 55 40 119 156 285 1486
1 kyber 0 140365 17545 56 41 120 157 282 870
1 bfq 0 133268 16658 59 43 120 152 246 43173
1 none 0 130084 16260 60 48 127 182 394 3578
1 mq-deadline 4 110497 13812 71 61 151 214 376 1448
1 adios 4 108883 13610 72 63 150 210 390 2201
1 kyber 4 107339 13417 73 63 154 223 391 1811
1 bfq 4 107515 13439 73 61 143 192 406 58039
1 none 4 108628 13578 72 63 150 216 412 2054
1 mq-deadline 8 70906 8863 111 102 216 287 388 1295
1 adios 8 65346 8168 121 110 235 308 415 2844
1 kyber 8 63594 7949 124 112 243 319 433 1255
1 bfq 8 85226 10653 92 76 209 294 424 21596
1 none 8 68341 8542 115 104 223 297 417 2384
2 mq-deadline 0 132855 16606 59 50 125 168 325 1517
2 adios 0 135395 16924 58 48 124 164 321 1006
2 kyber 0 136342 17042 57 48 123 162 319 4240
2 bfq 0 133385 16673 59 43 120 153 287 68652
2 none 0 126309 15788 62 49 131 198 379 1633
2 mq-deadline 4 97090 12136 81 70 167 246 434 2139
2 adios 4 110653 13831 71 63 146 192 321 2408
2 kyber 4 108991 13623 72 63 148 201 373 1883
2 bfq 4 110922 13865 71 63 141 183 274 63357
2 none 4 106929 13366 73 65 152 211 364 1338
2 mq-deadline 8 67204 8400 117 105 235 314 430 3807
2 adios 8 66366 8295 119 108 229 297 396 3522
2 kyber 8 67702 8462 116 104 237 316 434 2934
2 bfq 8 66313 8289 119 103 249 340 491 48887
2 none 8 70250 8781 112 103 217 284 381 2186
3 mq-deadline 0 129097 16137 61 51 128 171 293 1020
3 adios 0 133115 16639 59 46 125 162 267 1192
3 kyber 0 132002 16500 59 48 125 165 277 2493
3 bfq 0 127982 15997 61 45 124 160 300 61132
3 none 0 121427 15178 65 51 135 190 361 867
3 mq-deadline 4 111250 13906 70 61 147 203 364 4069
3 adios 4 113414 14176 69 60 145 200 364 2196
3 kyber 4 113366 14170 69 61 144 192 320 1509
3 bfq 4 106846 13355 73 65 144 187 304 42025
3 none 4 108413 13551 72 64 149 208 365 2105
3 mq-deadline 8 64531 8066 122 112 234 307 406 3899
3 adios 8 74306 9288 106 94 214 286 380 983
3 kyber 8 64894 8111 121 109 237 308 413 895
3 bfq 8 80235 10029 98 80 215 296 437 39179
3 none 8 72141 9017 109 100 210 272 361 3710
# restaurado para: mq-deadline
DONE

## Teste 2: escritores de fundo (leitura sob pressao de escrita)
# leitura 4K aleatoria com  escritor(es) de fundo, dur=6s
# rep sched wr n iops avg p50 p95 p99 p999 max
1 mq-deadline 1 95019 15836 62 42 147 306 441 6465
1 adios 1 94962 15827 62 45 137 236 433 5087
1 kyber 1 91266 15211 64 44 148 335 448 4894
1 bfq 1 94378 15729 62 45 129 199 436 45520
1 none 1 90878 15146 65 42 152 347 444 5201
1 mq-deadline 3 72061 12010 82 41 239 394 858 9741
1 adios 3 82742 13790 71 40 197 372 706 8292
1 kyber 3 67719 11286 87 43 276 406 930 9873
1 bfq 3 68851 11475 86 43 203 385 876 274695
1 none 3 87596 14599 67 38 173 371 725 9634
2 mq-deadline 1 94734 15789 62 43 146 297 430 4939
2 adios 1 92261 15376 64 42 148 324 447 4899
2 kyber 1 97389 16231 60 43 135 235 429 5243
2 bfq 1 94983 15830 62 46 128 190 421 39561
2 none 1 97819 16303 60 41 137 237 430 6013
2 mq-deadline 3 73261 12210 81 40 252 422 854 9395
2 adios 3 91400 15233 64 40 158 346 572 9193
2 kyber 3 95296 15882 62 39 150 349 524 7821
2 bfq 3 83606 13934 71 43 149 310 531 204828
2 none 3 89708 14951 66 37 169 359 727 7559
# restaurado para: mq-deadline
DONE
